state,sector,age_band,sex,adults,capable_adults,excluded_adults,sample_n
Lakshadweep,Rural,35-44,Male,1314.27,770.01,544.26,5.0
Meghalaya,Urban,25-34,Male,50234.21999999999,49693.83999999999,540.3799999999974,68.0
Lakshadweep,Rural,45-59,Male,949.38,451.5,497.88,4.0
Lakshadweep,Rural,25-34,Female,1493.64,995.76,497.8799999999999,6.0
Lakshadweep,Urban,15-24,Female,2244.87,1789.56,455.31,6.0
Ladakh,Urban,45-59,Male,3048.5,2609.25,439.25,14.0
Ladakh,Urban,35-44,Male,2658.25,2339.75,318.5,11.0
D&N Haveli & Daman & Diu,Urban,35-44,Male,64960.42999999999,64710.3,250.12999999999735,16.0
Lakshadweep,Rural,25-34,Male,1719.3900000000003,1493.64,225.75000000000043,7.0
Puducherry,Rural,15-24,Female,38792.06,38792.06,0.0,10.0
Puducherry,Rural,15-24,Male,25031.42,25031.42,0.0,8.0
Meghalaya,Urban,25-34,Female,57190.84999999999,57190.84999999999,0.0,57.0
Puducherry,Rural,25-34,Male,18042.57,18042.57,0.0,6.0
Lakshadweep,Urban,25-34,Female,2026.87,2026.87,0.0,7.0
Lakshadweep,Rural,15-24,Male,677.25,677.25,0.0,3.0
Goa,Urban,15-24,Male,33794.81,33794.81,0.0,6.0
Ladakh,Urban,15-24,Female,1256.5,1256.5,0.0,6.0
Lakshadweep,Urban,25-34,Male,3341.19,3341.19,0.0,10.0
Ladakh,Urban,25-34,Male,2912.0,2912.0,0.0,12.0
Ladakh,Urban,25-34,Female,1648.5,1648.5,0.0,8.0
Kerala,Rural,25-34,Male,584958.18,584958.18,0.0,48.0
Ladakh,Rural,25-34,Male,19344.98,19344.98,0.0,12.0
Goa,Urban,25-34,Male,35216.69,35216.69,0.0,7.0
Chandigarh,Urban,60+,Male,11458.5,11458.5,0.0,2.0
Chandigarh,Urban,45-59,Male,74764.23999999999,74764.23999999999,0.0,12.0
Chandigarh,Urban,35-44,Male,76621.92,76621.92,0.0,12.0
D&N Haveli & Daman & Diu,Urban,25-34,Male,91129.5,91129.5,0.0,21.0
Andaman & N. Islands,Rural,25-34,Male,18839.81,18839.81,0.0,12.0
